(at time 1, process idx=0 , remaining cpu-burst=15) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 5618, process idx=8 , remaining cpu-burst=2) run-queue [1 9 2 0 4 3 5 6 7], wait-queue []
(at time 5619, process idx=8 , remaining cpu-burst=1) run-queue [1 9 2 0 4 3 5 6 7], wait-queue []
(at time 5620, process idx=1 , remaining cpu-burst=7) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=4)]
(at time 5621, process idx=1 , remaining cpu-burst=6) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=3)]
(at time 5622, process idx=1 , remaining cpu-burst=5) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=2)]
(at time 5623, process idx=1 , remaining cpu-burst=4) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=1)]
(at time 5624, process idx=1 , remaining cpu-burst=3) run-queue [9 2 0 4 3 5 6 7 8], wait-queue []
(at time 5625, process idx=1 , remaining cpu-burst=2) run-queue [9 2 0 4 3 5 6 7 8], wait-queue []
(at time 5626, process idx=1 , remaining cpu-burst=1) run-queue [9 2 0 4 3 5 6 7 8], wait-queue []
(at time 5627, process idx=9 , remaining cpu-burst=7) run-queue [2 0 4 3 5 6 7 8], wait-queue [1(io=9)]
(at time 5628, process idx=9 , remaining cpu-burst=6) run-queue [2 0 4 3 5 6 7 8], wait-queue [1(io=8)]
(at time 5629, process idx=9 , remaining cpu-burst=5) run-queue [2 0 4 3 5 6 7 8], wait-queue [1(io=7)]
(at time 5630, process idx=9 , remaining cpu-burst=4) run-queue [2 0 4 3 5 6 7 8], wait-queue [1(io=6)]
(at time 5631, process idx=9 , remaining cpu-burst=3) run-queue [2 0 4 3 5 6 7 8], wait-queue [1(io=5)]
(at time 5632, process idx=9 , remaining cpu-burst=2) run-queue [2 0 4 3 5 6 7 8], wait-queue [1(io=4)]
(at time 5633, process idx=9 , remaining cpu-burst=1) run-queue [2 0 4 3 5 6 7 8], wait-queue [1(io=3)]
(at time 5634, process idx=2 , remaining cpu-burst=16) run-queue [0 4 3 5 6 7 8], wait-queue [1(io=2) 9(io=14)]
(at time 5635, process idx=2 , remaining cpu-burst=15) run-queue [0 4 3 5 6 7 8], wait-queue [1(io=1) 9(io=13)]
(at time 5636, process idx=2 , remaining cpu-burst=14) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=12)]
(at time 5637, process idx=2 , remaining cpu-burst=13) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=11)]
(at time 5638, process idx=2 , remaining cpu-burst=12) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=10)]
(at time 5639, process idx=2 , remaining cpu-burst=11) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=9)]
(at time 5640, process idx=2 , remaining cpu-burst=10) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=8)]
(at time 5641, process idx=2 , remaining cpu-burst=9) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=7)]
(at time 5642, process idx=2 , remaining cpu-burst=8) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=6)]
(at time 5643, process idx=2 , remaining cpu-burst=7) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=5)]
(at time 5644, process idx=2 , remaining cpu-burst=6) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=4)]
(at time 5645, process idx=2 , remaining cpu-burst=5) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=3)]
(at time 5646, process idx=2 , remaining cpu-burst=4) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=2)]
(at time 5647, process idx=2 , remaining cpu-burst=3) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=1)]
(at time 5648, process idx=2 , remaining cpu-burst=2) run-queue [0 4 3 5 6 7 8 1 9], wait-queue []
(at time 5649, process idx=2 , remaining cpu-burst=1) run-queue [0 4 3 5 6 7 8 1 9], wait-queue []
(at time 5650, process idx=0 , remaining cpu-burst=11) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=14)]
(at time 5651, process idx=0 , remaining cpu-burst=10) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=13)]
(at time 5652, process idx=0 , remaining cpu-burst=9) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=12)]
(at time 5653, process idx=0 , remaining cpu-burst=8) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=11)]
(at time 5654, process idx=0 , remaining cpu-burst=7) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=10)]
(at time 5655, process idx=0 , remaining cpu-burst=6) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=9)]
(at time 5656, process idx=0 , remaining cpu-burst=5) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=8)]
(at time 5657, process idx=0 , remaining cpu-burst=4) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=7)]
(at time 5658, process idx=0 , remaining cpu-burst=3) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=6)]
(at time 5659, process idx=0 , remaining cpu-burst=2) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=5)]
(at time 5660, process idx=0 , remaining cpu-burst=1) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=4)]
(at time 5661, process idx=4 , remaining cpu-burst=20) run-queue [3 5 6 7 8 1 9], wait-queue [2(io=3) 0(io=10)]
(at time 5662, process idx=4 , remaining cpu-burst=19) run-queue [3 5 6 7 8 1 9], wait-queue [2(io=2) 0(io=9)]
(at time 5663, process idx=4 , remaining cpu-burst=18) run-queue [3 5 6 7 8 1 9], wait-queue [2(io=1) 0(io=8)]
(at time 5664, process idx=4 , remaining cpu-burst=17) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=7)]
(at time 5665, process idx=4 , remaining cpu-burst=16) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=6)]
(at time 5666, process idx=4 , remaining cpu-burst=15) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=5)]
(at time 5667, process idx=4 , remaining cpu-burst=14) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=4)]
(at time 5668, process idx=4 , remaining cpu-burst=13) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=3)]
(at time 5669, process idx=4 , remaining cpu-burst=12) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=2)]
(at time 5670, process idx=4 , remaining cpu-burst=11) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=1)]
(at time 5671, process idx=4 , remaining cpu-burst=10) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5672, process idx=4 , remaining cpu-burst=9) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5673, process idx=4 , remaining cpu-burst=8) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5674, process idx=4 , remaining cpu-burst=7) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5675, process idx=4 , remaining cpu-burst=6) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5676, process idx=4 , remaining cpu-burst=5) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5677, process idx=4 , remaining cpu-burst=4) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5678, process idx=4 , remaining cpu-burst=3) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5679, process idx=4 , remaining cpu-burst=2) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5680, process idx=4 , remaining cpu-burst=1) run-queue [3 5 6 7 8 1 9 2 0], wait-queue []
(at time 5681, process idx=3 , remaining cpu-burst=6) run-queue [5 6 7 8 1 9 2 0], wait-queue [4(io=7)]
(at time 5682, process idx=3 , remaining cpu-burst=5) run-queue [5 6 7 8 1 9 2 0], wait-queue [4(io=6)]
(at time 5683, process idx=3 , remaining cpu-burst=4) run-queue [5 6 7 8 1 9 2 0], wait-queue [4(io=5)]
(at time 5684, process idx=3 , remaining cpu-burst=3) run-queue [5 6 7 8 1 9 2 0], wait-queue [4(io=4)]
(at time 5685, process idx=3 , remaining cpu-burst=2) run-queue [5 6 7 8 1 9 2 0], wait-queue [4(io=3)]
(at time 5686, process idx=3 , remaining cpu-burst=1) run-queue [5 6 7 8 1 9 2 0], wait-queue [4(io=2)]
(at time 5687, process idx=5 , remaining cpu-burst=19) run-queue [6 7 8 1 9 2 0], wait-queue [4(io=1) 3(io=6)]
(at time 5688, process idx=5 , remaining cpu-burst=18) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=5)]
(at time 5689, process idx=5 , remaining cpu-burst=17) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=4)]
(at time 5690, process idx=5 , remaining cpu-burst=16) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=3)]
(at time 5691, process idx=5 , remaining cpu-burst=15) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=2)]
(at time 5692, process idx=5 , remaining cpu-burst=14) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=1)]
(at time 5693, process idx=5 , remaining cpu-burst=13) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5694, process idx=5 , remaining cpu-burst=12) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5695, process idx=5 , remaining cpu-burst=11) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5696, process idx=5 , remaining cpu-burst=10) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5697, process idx=5 , remaining cpu-burst=9) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5698, process idx=5 , remaining cpu-burst=8) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5699, process idx=5 , remaining cpu-burst=7) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5700, process idx=5 , remaining cpu-burst=6) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5701, process idx=5 , remaining cpu-burst=5) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5702, process idx=5 , remaining cpu-burst=4) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5703, process idx=5 , remaining cpu-burst=3) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5704, process idx=5 , remaining cpu-burst=2) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5705, process idx=5 , remaining cpu-burst=1) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5706, process idx=6 , remaining cpu-burst=6) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=4)]
(at time 5707, process idx=6 , remaining cpu-burst=5) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=3)]
(at time 5708, process idx=6 , remaining cpu-burst=4) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=2)]
(at time 5709, process idx=6 , remaining cpu-burst=3) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=1)]
(at time 5710, process idx=6 , remaining cpu-burst=2) run-queue [7 8 1 9 2 0 4 3 5], wait-queue []
(at time 5711, process idx=6 , remaining cpu-burst=1) run-queue [7 8 1 9 2 0 4 3 5], wait-queue []
(at time 5712, process idx=7 , remaining cpu-burst=19) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=6)]
(at time 5713, process idx=7 , remaining cpu-burst=18) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=5)]
(at time 5714, process idx=7 , remaining cpu-burst=17) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=4)]
(at time 5715, process idx=7 , remaining cpu-burst=16) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=3)]
(at time 5716, process idx=7 , remaining cpu-burst=15) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=2)]
(at time 5717, process idx=7 , remaining cpu-burst=14) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=1)]
(at time 5718, process idx=7 , remaining cpu-burst=13) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5719, process idx=7 , remaining cpu-burst=12) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5720, process idx=7 , remaining cpu-burst=11) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5721, process idx=7 , remaining cpu-burst=10) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5722, process idx=7 , remaining cpu-burst=9) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5723, process idx=7 , remaining cpu-burst=8) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5724, process idx=7 , remaining cpu-burst=7) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5725, process idx=7 , remaining cpu-burst=6) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5726, process idx=7 , remaining cpu-burst=5) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5727, process idx=7 , remaining cpu-burst=4) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5728, process idx=7 , remaining cpu-burst=3) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5729, process idx=7 , remaining cpu-burst=2) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5730, process idx=7 , remaining cpu-burst=1) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5731, process idx=8 , remaining cpu-burst=11) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=9)]
(at time 5732, process idx=8 , remaining cpu-burst=10) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=8)]
(at time 5733, process idx=8 , remaining cpu-burst=9) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=7)]
(at time 5734, process idx=8 , remaining cpu-burst=8) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=6)]
(at time 5735, process idx=8 , remaining cpu-burst=7) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=5)]
(at time 5736, process idx=8 , remaining cpu-burst=6) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=4)]
(at time 5737, process idx=8 , remaining cpu-burst=5) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=3)]
(at time 5738, process idx=8 , remaining cpu-burst=4) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=2)]
(at time 5739, process idx=8 , remaining cpu-burst=3) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=1)]
(at time 5740, process idx=8 , remaining cpu-burst=2) run-queue [1 9 2 0 4 3 5 6 7], wait-queue []
(at time 5741, process idx=8 , remaining cpu-burst=1) run-queue [1 9 2 0 4 3 5 6 7], wait-queue []
(at time 5742, process idx=1 , remaining cpu-burst=5) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=10)]
(at time 5743, process idx=1 , remaining cpu-burst=4) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=9)]
(at time 5744, process idx=1 , remaining cpu-burst=3) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=8)]
(at time 5745, process idx=1 , remaining cpu-burst=2) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=7)]
(at time 5746, process idx=1 , remaining cpu-burst=1) run-queue [9 2 0 4 3 5 6 7], wait-queue [8(io=6)]
(at time 5747, process idx=9 , remaining cpu-burst=15) run-queue [2 0 4 3 5 6 7], wait-queue [8(io=5) 1(io=6)]
(at time 5748, process idx=9 , remaining cpu-burst=14) run-queue [2 0 4 3 5 6 7], wait-queue [8(io=4) 1(io=5)]
(at time 5749, process idx=9 , remaining cpu-burst=13) run-queue [2 0 4 3 5 6 7], wait-queue [8(io=3) 1(io=4)]
(at time 5750, process idx=9 , remaining cpu-burst=12) run-queue [2 0 4 3 5 6 7], wait-queue [8(io=2) 1(io=3)]
(at time 5751, process idx=9 , remaining cpu-burst=11) run-queue [2 0 4 3 5 6 7], wait-queue [8(io=1) 1(io=2)]
(at time 5752, process idx=9 , remaining cpu-burst=10) run-queue [2 0 4 3 5 6 7 8], wait-queue [1(io=1)]
(at time 5753, process idx=9 , remaining cpu-burst=9) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5754, process idx=9 , remaining cpu-burst=8) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5755, process idx=9 , remaining cpu-burst=7) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5756, process idx=9 , remaining cpu-burst=6) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5757, process idx=9 , remaining cpu-burst=5) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5758, process idx=9 , remaining cpu-burst=4) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5759, process idx=9 , remaining cpu-burst=3) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5760, process idx=9 , remaining cpu-burst=2) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5761, process idx=9 , remaining cpu-burst=1) run-queue [2 0 4 3 5 6 7 8 1], wait-queue []
(at time 5762, process idx=2 , remaining cpu-burst=20) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=14)]
(at time 5763, process idx=2 , remaining cpu-burst=19) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=13)]
(at time 5764, process idx=2 , remaining cpu-burst=18) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=12)]
(at time 5765, process idx=2 , remaining cpu-burst=17) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=11)]
(at time 5766, process idx=2 , remaining cpu-burst=16) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=10)]
(at time 5767, process idx=2 , remaining cpu-burst=15) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=9)]
(at time 5768, process idx=2 , remaining cpu-burst=14) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=8)]
(at time 5769, process idx=2 , remaining cpu-burst=13) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=7)]
(at time 5770, process idx=2 , remaining cpu-burst=12) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=6)]
(at time 5771, process idx=2 , remaining cpu-burst=11) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=5)]
(at time 5772, process idx=2 , remaining cpu-burst=10) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=4)]
(at time 5773, process idx=2 , remaining cpu-burst=9) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=3)]
(at time 5774, process idx=2 , remaining cpu-burst=8) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=2)]
(at time 5775, process idx=2 , remaining cpu-burst=7) run-queue [0 4 3 5 6 7 8 1], wait-queue [9(io=1)]
(at time 5776, process idx=2 , remaining cpu-burst=6) run-queue [0 4 3 5 6 7 8 1 9], wait-queue []
(at time 5777, process idx=2 , remaining cpu-burst=5) run-queue [0 4 3 5 6 7 8 1 9], wait-queue []
(at time 5778, process idx=2 , remaining cpu-burst=4) run-queue [0 4 3 5 6 7 8 1 9], wait-queue []
(at time 5779, process idx=2 , remaining cpu-burst=3) run-queue [0 4 3 5 6 7 8 1 9], wait-queue []
(at time 5780, process idx=2 , remaining cpu-burst=2) run-queue [0 4 3 5 6 7 8 1 9], wait-queue []
(at time 5781, process idx=2 , remaining cpu-burst=1) run-queue [0 4 3 5 6 7 8 1 9], wait-queue []
(at time 5782, process idx=0 , remaining cpu-burst=18) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=11)]
(at time 5783, process idx=0 , remaining cpu-burst=17) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=10)]
(at time 5784, process idx=0 , remaining cpu-burst=16) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=9)]
(at time 5785, process idx=0 , remaining cpu-burst=15) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=8)]
(at time 5786, process idx=0 , remaining cpu-burst=14) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=7)]
(at time 5787, process idx=0 , remaining cpu-burst=13) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=6)]
(at time 5788, process idx=0 , remaining cpu-burst=12) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=5)]
(at time 5789, process idx=0 , remaining cpu-burst=11) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=4)]
(at time 5790, process idx=0 , remaining cpu-burst=10) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=3)]
(at time 5791, process idx=0 , remaining cpu-burst=9) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=2)]
(at time 5792, process idx=0 , remaining cpu-burst=8) run-queue [4 3 5 6 7 8 1 9], wait-queue [2(io=1)]
(at time 5793, process idx=0 , remaining cpu-burst=7) run-queue [4 3 5 6 7 8 1 9 2], wait-queue []
(at time 5794, process idx=0 , remaining cpu-burst=6) run-queue [4 3 5 6 7 8 1 9 2], wait-queue []
(at time 5795, process idx=0 , remaining cpu-burst=5) run-queue [4 3 5 6 7 8 1 9 2], wait-queue []
(at time 5796, process idx=0 , remaining cpu-burst=4) run-queue [4 3 5 6 7 8 1 9 2], wait-queue []
(at time 5797, process idx=0 , remaining cpu-burst=3) run-queue [4 3 5 6 7 8 1 9 2], wait-queue []
(at time 5798, process idx=0 , remaining cpu-burst=2) run-queue [4 3 5 6 7 8 1 9 2], wait-queue []
(at time 5799, process idx=0 , remaining cpu-burst=1) run-queue [4 3 5 6 7 8 1 9 2], wait-queue []
(at time 5800, process idx=4 , remaining cpu-burst=6) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=13)]
(at time 5801, process idx=4 , remaining cpu-burst=5) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=12)]
(at time 5802, process idx=4 , remaining cpu-burst=4) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=11)]
(at time 5803, process idx=4 , remaining cpu-burst=3) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=10)]
(at time 5804, process idx=4 , remaining cpu-burst=2) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=9)]
(at time 5805, process idx=4 , remaining cpu-burst=1) run-queue [3 5 6 7 8 1 9 2], wait-queue [0(io=8)]
(at time 5806, process idx=3 , remaining cpu-burst=9) run-queue [5 6 7 8 1 9 2], wait-queue [0(io=7) 4(io=13)]
(at time 5807, process idx=3 , remaining cpu-burst=8) run-queue [5 6 7 8 1 9 2], wait-queue [0(io=6) 4(io=12)]
(at time 5808, process idx=3 , remaining cpu-burst=7) run-queue [5 6 7 8 1 9 2], wait-queue [0(io=5) 4(io=11)]
(at time 5809, process idx=3 , remaining cpu-burst=6) run-queue [5 6 7 8 1 9 2], wait-queue [0(io=4) 4(io=10)]
(at time 5810, process idx=3 , remaining cpu-burst=5) run-queue [5 6 7 8 1 9 2], wait-queue [0(io=3) 4(io=9)]
(at time 5811, process idx=3 , remaining cpu-burst=4) run-queue [5 6 7 8 1 9 2], wait-queue [0(io=2) 4(io=8)]
(at time 5812, process idx=3 , remaining cpu-burst=3) run-queue [5 6 7 8 1 9 2], wait-queue [0(io=1) 4(io=7)]
(at time 5813, process idx=3 , remaining cpu-burst=2) run-queue [5 6 7 8 1 9 2 0], wait-queue [4(io=6)]
(at time 5814, process idx=3 , remaining cpu-burst=1) run-queue [5 6 7 8 1 9 2 0], wait-queue [4(io=5)]
(at time 5815, process idx=5 , remaining cpu-burst=16) run-queue [6 7 8 1 9 2 0], wait-queue [4(io=4) 3(io=14)]
(at time 5816, process idx=5 , remaining cpu-burst=15) run-queue [6 7 8 1 9 2 0], wait-queue [4(io=3) 3(io=13)]
(at time 5817, process idx=5 , remaining cpu-burst=14) run-queue [6 7 8 1 9 2 0], wait-queue [4(io=2) 3(io=12)]
(at time 5818, process idx=5 , remaining cpu-burst=13) run-queue [6 7 8 1 9 2 0], wait-queue [4(io=1) 3(io=11)]
(at time 5819, process idx=5 , remaining cpu-burst=12) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=10)]
(at time 5820, process idx=5 , remaining cpu-burst=11) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=9)]
(at time 5821, process idx=5 , remaining cpu-burst=10) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=8)]
(at time 5822, process idx=5 , remaining cpu-burst=9) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=7)]
(at time 5823, process idx=5 , remaining cpu-burst=8) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=6)]
(at time 5824, process idx=5 , remaining cpu-burst=7) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=5)]
(at time 5825, process idx=5 , remaining cpu-burst=6) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=4)]
(at time 5826, process idx=5 , remaining cpu-burst=5) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=3)]
(at time 5827, process idx=5 , remaining cpu-burst=4) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=2)]
(at time 5828, process idx=5 , remaining cpu-burst=3) run-queue [6 7 8 1 9 2 0 4], wait-queue [3(io=1)]
(at time 5829, process idx=5 , remaining cpu-burst=2) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5830, process idx=5 , remaining cpu-burst=1) run-queue [6 7 8 1 9 2 0 4 3], wait-queue []
(at time 5831, process idx=6 , remaining cpu-burst=10) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=5)]
(at time 5832, process idx=6 , remaining cpu-burst=9) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=4)]
(at time 5833, process idx=6 , remaining cpu-burst=8) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=3)]
(at time 5834, process idx=6 , remaining cpu-burst=7) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=2)]
(at time 5835, process idx=6 , remaining cpu-burst=6) run-queue [7 8 1 9 2 0 4 3], wait-queue [5(io=1)]
(at time 5836, process idx=6 , remaining cpu-burst=5) run-queue [7 8 1 9 2 0 4 3 5], wait-queue []
(at time 5837, process idx=6 , remaining cpu-burst=4) run-queue [7 8 1 9 2 0 4 3 5], wait-queue []
(at time 5838, process idx=6 , remaining cpu-burst=3) run-queue [7 8 1 9 2 0 4 3 5], wait-queue []
(at time 5839, process idx=6 , remaining cpu-burst=2) run-queue [7 8 1 9 2 0 4 3 5], wait-queue []
(at time 5840, process idx=6 , remaining cpu-burst=1) run-queue [7 8 1 9 2 0 4 3 5], wait-queue []
(at time 5841, process idx=7 , remaining cpu-burst=7) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=4)]
(at time 5842, process idx=7 , remaining cpu-burst=6) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=3)]
(at time 5843, process idx=7 , remaining cpu-burst=5) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=2)]
(at time 5844, process idx=7 , remaining cpu-burst=4) run-queue [8 1 9 2 0 4 3 5], wait-queue [6(io=1)]
(at time 5845, process idx=7 , remaining cpu-burst=3) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5846, process idx=7 , remaining cpu-burst=2) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5847, process idx=7 , remaining cpu-burst=1) run-queue [8 1 9 2 0 4 3 5 6], wait-queue []
(at time 5848, process idx=8 , remaining cpu-burst=5) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=5)]
(at time 5849, process idx=8 , remaining cpu-burst=4) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=4)]
(at time 5850, process idx=8 , remaining cpu-burst=3) run-queue [1 9 2 0 4 3 5 6], wait-queue [7(io=3)]
